Deuterium exports,Deuterium inventory,Fixed plant power,Fusion Fleet Gross Electric,Imports,Fusion Fleet Net Electric,Fusion Fleet Thermal Power,Fusion Fleet Magnet & station power,Salt Heating,Tritium exports,Fusion Fleet Tritium Inventory,Var plant power,,Fusion Fleet Fusion Power
-31167.23672,0,654.4367108,12440.59256,7.18E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-3.00E-11,276475.8543,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.17E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-1.45E-11,279588.6358,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.17E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-3.77E-11,282701.4173,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.04E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.59E-11,285814.1987,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.02E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.41E-11,288926.9802,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.18E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-2.41E-11,292039.7617,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.18E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.55E-11,295152.5431,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.18E-16,8534.093631,31163.6529,3906.498933,1.63E-11,2.74E-12,298265.3246,2596.971075,,23972.04069
-28764.06502,0,654.4367108,11491.30922,7.19E-16,7753.557537,28760.50523,3737.751678,31.51505089,-2.00E-11,301137.8153,2396.708769,,22123.46556
-27726.43588,0,654.4367108,11076.87485,7.22E-16,7423.977873,27722.88647,3652.896981,33.12858368,-3.50E-11,303906.5546,2310.240539,,21325.29728
-23302.72777,0,654.4367108,9307.112556,8.15E-16,6023.635145,23299.22259,3283.477411,32.34766961,-8.63E-12,306232.9717,1941.601883,,17922.47892
-28148.76512,0,654.4367108,11245.74698,7.22E-16,7557.808565,28145.21148,3687.938414,32.97626586,-2.77E-11,309043.9392,2345.43429,,21650.16268
-30439.02863,0,654.4367108,12161.4429,8.16E-16,8283.704587,30435.4521,3877.738313,31.92277954,-6.81E-12,312083.9078,2536.287675,,23411.88623
-31167.23672,0,654.4367108,12440.59256,7.27E-16,8534.093631,31163.6529,3906.498933,1.18E-08,1.37E-11,315196.6893,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.29E-16,8534.093631,31163.6529,3906.498933,1.18E-08,-1.14E-11,318309.4708,2596.971075,,23972.04069
-27866.19386,0,654.4367108,11132.91051,8.22E-16,7468.017085,27862.64305,3664.893426,33.47864655,4.66E-13,321092.1843,2321.886921,,21432.80235
-25178.60207,0,654.4367108,10058.02302,7.30E-16,6616.728929,25175.07813,3441.29409,33.84305381,5.01E-12,323606.1682,2097.923178,,19365.44472
-21127.44249,0,654.4367108,8437.468589,7.29E-16,5334.048816,21123.95907,3103.419773,33.56199226,-3.27E-11,325715.0806,1760.329922,,16249.19928
-16447.82998,0,654.4367108,6565.253671,8.20E-16,3852.820428,16444.39336,2712.433243,32.53927143,-1.61E-11,327356.0833,1370.366113,,12649.53335
-11010.39306,0,654.4367108,4390.041678,8.19E-16,2131.405154,11007.0108,2258.636524,31.85776523,-3.36E-11,328453.4022,917.2509004,,8466.931388
-11046.39028,0,654.4367108,4405.309278,8.17E-16,2141.386553,11043.00767,2263.922725,34.14422746,-2.05E-11,329554.3203,920.2506389,,8494.621282
-5164.635845,0,654.4367108,2052.193825,7.24E-16,279.5629426,5161.312048,1772.630882,32.99368679,-3.20E-11,330067.1277,430.1093373,,3970.240037
-4282.743651,0,654.4367108,1699.624269,7.23E-16,9.75E-09,4279.428673,1699.624269,33.47735447,-1.59E-13,330491.7556,356.6190561,,3291.86821
-4283.113126,0,654.4367108,1699.843766,8.16E-16,9.33E-09,4279.798144,1699.843766,33.66606273,6.36E-13,330916.4205,356.6498453,,3292.152419
-4281.897414,0,654.4367108,1699.121536,8.15E-16,9.28E-09,4278.582445,1699.121536,33.04514099,-2.35E-11,331340.9637,356.5485371,,3291.217265
-4282.420326,0,654.4367108,1699.432188,7.21E-16,9.40E-09,4279.105351,1699.432188,33.31221701,-2.96E-11,331765.5593,356.5921126,,3291.619501
-7264.183974,0,654.4367108,2891.831553,8.14E-16,944.69567,7260.839183,1947.135883,32.53809321,-1.34E-11,332488.2984,605.0699319,,5585.26091
-9098.893242,0,654.4367108,3625.811308,7.21E-16,1525.512444,9095.530103,2100.298864,32.81016366,1.25E-13,333394.4883,757.9608419,,6996.561618
