Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,246,32781.2,2203.41073,3487.12315,1486.26206,6158.99869,2216.05048,4078.91997
,,,,,,,247,36333.3,2620.1707,4066.14706,1741.66281,7592.25638,2543.49128,5099.90047
,,,,,,,248,37855.1,3196.51091,4793.2554,2058.35027,10000.9623,2963.50032,6518.12548
,,,,,,,249,37748.1,3359.37764,4945.22015,2181.33161,10575.8646,3065.66357,6748.75775
,,,,,,,250,36629.3,3387.07863,4933.6821,2154.06353,10488.7857,3109.54166,6619.43932
,,,,,,,251,36380.3,3320.503,4840.34614,2140.12788,10174.0102,3078.76112,6281.05902
,,,,,,,252,35790.6,3351.7478,4828.12224,2166.87345,10493.5618,3144.78634,6441.9
,,,,,,,253,35565.2,3364.67866,4843.43876,2168.03223,10761.9892,3139.98503,6446.0582
,,,,,,,254,35553.2,3239.50014,4472.28797,1999.73521,10633.5576,2994.2021,6226.69583
,,,,,,,255,35590.0,3189.61334,4389.84549,1977.31914,10806.1143,2837.36041,6217.62625
,,,,,,,256,36480.6,3261.59012,4422.01703,1966.0683,11534.002,2748.30804,6508.30102
,,,,,,,257,38481.3,3485.83405,4694.00186,2124.86782,12583.9614,2936.39781,7131.77635
,,,,,,,258,39159.3,3764.57293,5083.58597,2295.47097,13764.8133,3181.29222,7784.00366
,,,,,,,259,39154.3,3754.98888,5020.71577,2299.69812,13658.3924,3258.4064,7819.57374
,,,,,,,260,38381.6,3400.64615,4699.13789,2109.97512,12015.6632,3074.1476,7042.98919
,,,,,,,261,37439.6,3197.58565,4563.97119,2039.16148,11514.9166,3010.36827,6788.51518
,,,,,,,262,36728.8,2749.15005,3835.8143,1732.40896,9267.92376,2658.63939,5545.23647
