Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2
148,0.262,1,1,0.0,0.0,0.0,0.1801,0.0727,0.0727,1,0.552743642,1,1
149,0.262,1,1,0.0,0.0,0.0,0.0207,0.0536,0.0536,1,0.552743642,1,1
150,0.262,1,1,0.0,0.0,0.0,0.0466,0.0478,0.0478,1,0.552743642,1,1
151,0.262,1,1,0.0,0.0,0.0,0.0481,0.0515,0.0515,1,0.552743642,1,1
152,0.262,1,1,0.009791,0.005610995918109,0.0051591040818909995,0.0788,0.2289,0.2289,1,0.552743642,1,1
153,0.262,1,1,0.111255,0.06375767039824501,0.058622829601755,0.3749,0.0873,0.0873,1,0.552743642,1,1
154,0.262,1,1,0.283816,0.16264839316658403,0.149549206833416,0.4468,0.2249,0.2249,1,0.552743642,1,1
155,0.262,1,1,0.451351,0.258658831440549,0.23782726855945097,0.3186,0.153,0.153,1,0.552743642,1,1
156,0.262,1,1,0.550552,0.31550863289824804,0.29009856710175197,0.2414,0.2162,0.2162,1,0.552743642,1,1
157,0.262,1,1,0.551707,0.316170536716593,0.29070716328340696,0.4337,0.1452,0.1452,1,0.552743642,1,1
158,0.262,1,1,0.441827,0.25320084705447304,0.232808852945527,0.4069,0.9005,0.9005,1,0.552743642,1,1
159,0.262,1,1,0.299566,0.171674354325834,0.15784824567416597,0.3823,0.3133,0.3133,1,0.552743642,1,1
160,0.262,1,1,0.098649,0.056533463009451,0.051980436990548995,0.0133,0.2394,0.2394,1,0.552743642,1,1
161,0.262,1,1,0.0072,0.0041261536728,0.0037938463271999993,0.2368,0.6802,0.6802,1,0.552743642,1,1
162,0.262,1,1,0.0,0.0,0.0,0.067,0.7098,0.7098,1,0.552743642,1,1
163,0.262,1,1,0.0,0.0,0.0,0.1761,0.6978,0.6978,1,0.552743642,1,1
164,0.262,1,1,0.0,0.0,0.0,0.2404,0.6653,0.6653,1,0.552743642,1,1
165,0.262,1,1,0.0,0.0,0.0,0.2646,0.3771,0.3771,1,0.552743642,1,1
166,0.262,1,1,0.0,0.0,0.0,0.3054,0.3253,0.3253,1,0.552743642,1,1
167,0.262,1,1,0.0,0.0,0.0,0.3571,0.1467,0.1467,1,0.552743642,1,1
168,0.262,1,1,0.0,0.0,0.0,0.2797,0.59,0.59,1,0.552743642,1,1
169,0.262,1,1,0.0,0.0,0.0,0.1987,0.103,0.103,1,0.552743642,1,1
170,0.262,1,1,0.0,0.0,0.0,0.2046,0.5182,0.5182,1,0.552743642,1,1
171,0.262,1,1,0.0,0.0,0.0,0.1397,0.2656,0.2656,1,0.552743642,1,1
172,0.262,1,1,0.0,0.0,0.0,0.5162,0.3518,0.3518,1,0.552743642,1,1
173,0.262,1,1,0.0,0.0,0.0,0.6906,0.5017,0.5017,1,0.552743642,1,1
174,0.262,1,1,0.0,0.0,0.0,0.1229,0.2822,0.2822,1,0.552743642,1,1
175,0.262,1,1,0.0,0.0,0.0,0.2485,0.3446,0.3446,1,0.552743642,1,1
176,0.262,1,1,0.001198,0.0006865461250020001,0.000631253874998,0.5882,0.9046,0.9046,1,0.552743642,1,1
177,0.262,1,1,0.00978,0.0056046920722200005,0.00515330792778,0.0995,0.8269,0.8269,1,0.552743642,1,1
178,0.262,1,1,0.02288,0.01311199944912,0.012056000550879999,0.0675,0.0804,0.0804,1,0.552743642,1,1
179,0.262,1,1,0.028755,0.016478826230745,0.015151673769254997,0.2321,0.2256,0.2256,1,0.552743642,1,1
180,0.262,1,1,0.032387,0.018560241527913,0.017065458472086997,0.4015,0.7726,0.7726,1,0.552743642,1,1
181,0.262,1,1,0.036337,0.020823895278963,0.019146804721036997,0.1302,0.6465,0.6465,1,0.552743642,1,1
182,0.262,1,1,0.032136,0.018416399226264,0.016933200773735998,0.26,0.3554,0.3554,1,0.552743642,1,1
183,0.262,1,1,0.023598,0.013523468662602001,0.012434331337398,0.5888,0.6025,0.6025,1,0.552743642,1,1
184,0.262,1,1,0.011601,0.006648265105299001,0.006112834894700999,0.1738,0.3483,0.3483,1,0.552743642,1,1
185,0.262,1,1,0.000599,0.00034327306250100004,0.000315626937499,0.2498,0.1181,0.1181,1,0.552743642,1,1
186,0.262,1,1,0.0,0.0,0.0,0.2406,0.202,0.202,1,0.552743642,1,1
187,0.262,1,1,0.0,0.0,0.0,0.3718,0.3642,0.3642,1,0.552743642,1,1
188,0.262,1,1,0.0,0.0,0.0,0.1325,0.7638,0.7638,1,0.552743642,1,1
189,0.262,1,1,0.0,0.0,0.0,0.0378,0.3559,0.3559,1,0.552743642,1,1
190,0.262,1,1,0.0,0.0,0.0,0.1176,0.7848,0.7848,1,0.552743642,1,1
191,0.262,1,1,0.0,0.0,0.0,0.4119,0.4842,0.4842,1,0.552743642,1,1
192,0.262,1,1,0.0,0.0,0.0,0.3545,0.555,0.555,1,0.552743642,1,1
193,0.262,1,1,0.0,0.0,0.0,0.0227,0.2398,0.2398,1,0.552743642,1,1
194,0.262,1,1,0.0,0.0,0.0,0.0484,0.0563,0.0563,1,0.552743642,1,1
195,0.262,1,1,0.0,0.0,0.0,0.3698,0.1753,0.1753,1,0.552743642,1,1
196,0.262,1,1,0.0,0.0,0.0,0.3589,0.2408,0.2408,1,0.552743642,1,1
197,0.262,1,1,0.0,0.0,0.0,0.1206,0.0363,0.0363,1,0.552743642,1,1
198,0.262,1,1,0.0,0.0,0.0,0.1136,0.0688,0.0688,1,0.552743642,1,1
199,0.262,1,1,0.0,0.0,0.0,0.0881,0.6617,0.6617,1,0.552743642,1,1
200,0.262,1,1,0.010992,0.006299261273808,0.005791938726192,0.2763,0.3023,0.3023,1,0.552743642,1,1
201,0.262,1,1,0.114865,0.065826478003635,0.06052502199636499,0.3099,0.1463,0.1463,1,0.552743642,1,1
202,0.262,1,1,0.28395,0.16272518547105,0.14961981452894998,0.1927,0.1169,0.1169,1,0.552743642,1,1
203,0.262,1,1,0.229082,0.131281602176718,0.120708597823282,0.2306,0.208,0.208,1,0.552743642,1,1
204,0.262,1,1,0.39482,0.22626222126318002,0.20803977873681997,0.432,0.3799,0.3799,1,0.552743642,1,1
205,0.262,1,1,0.388496,0.22263808295390403,0.204707517046096,0.4185,0.3432,0.3432,1,0.552743642,1,1
206,0.262,1,1,0.338267,0.193853003394033,0.17824069660596698,0.3056,0.8045,0.8045,1,0.552743642,1,1
207,0.262,1,1,0.208681,0.11959026036021901,0.109958839639781,0.3007,0.0601,0.0601,1,0.552743642,1,1
208,0.262,1,1,0.059411,0.034047071646489,0.031305028353511,0.3679,0.8717,0.8717,1,0.552743642,1,1
209,0.262,1,1,0.005606,0.003212669095794,0.0029539309042059996,0.1781,0.7902,0.7902,1,0.552743642,1,1
210,0.262,1,1,0.0,0.0,0.0,0.1446,0.0876,0.0876,1,0.552743642,1,1
211,0.262,1,1,0.0,0.0,0.0,0.162,0.1274,0.1274,1,0.552743642,1,1
212,0.262,1,1,0.0,0.0,0.0,0.0372,0.1718,0.1718,1,0.552743642,1,1
213,0.262,1,1,0.0,0.0,0.0,0.3681,0.119,0.119,1,0.552743642,1,1
214,0.262,1,1,0.0,0.0,0.0,0.295,0.224,0.224,1,0.552743642,1,1
215,0.262,1,1,0.0,0.0,0.0,0.4706,0.2295,0.2295,1,0.552743642,1,1
216,0.262,1,1,0.0,0.0,0.0,0.0608,0.0587,0.0587,1,0.552743642,1,1
217,0.262,1,1,0.0,0.0,0.0,0.4039,0.6244,0.6244,1,0.552743642,1,1
218,0.262,1,1,0.0,0.0,0.0,0.3151,0.2496,0.2496,1,0.552743642,1,1
219,0.262,1,1,0.0,0.0,0.0,0.1545,0.0178,0.0178,1,0.552743642,1,1
220,0.262,1,1,0.0,0.0,0.0,0.4374,0.1523,0.1523,1,0.552743642,1,1
221,0.262,1,1,0.0,0.0,0.0,0.1069,0.1098,0.1098,1,0.552743642,1,1
222,0.262,1,1,0.0,0.0,0.0,0.2613,0.1662,0.1662,1,0.552743642,1,1
223,0.262,1,1,0.0,0.0,0.0,0.4076,0.2025,0.2025,1,0.552743642,1,1
224,0.262,1,1,0.009996,0.005728476682404,0.005267123317595999,0.0548,0.1127,0.1127,1,0.552743642,1,1
225,0.262,1,1,0.130915,0.075024362232585,0.06898213776741499,0.3821,0.829,0.829,1,0.552743642,1,1
226,0.262,1,1,0.318425,0.182482011564075,0.167785488435925,0.0679,0.3508,0.3508,1,0.552743642,1,1
227,0.262,1,1,0.46819,0.26830887334281,0.24670012665718996,0.1175,0.2558,0.2558,1,0.552743642,1,1
228,0.262,1,1,0.51242,0.29365606458558,0.27000593541442,0.061,0.4391,0.4391,1,0.552743642,1,1
229,0.262,1,1,0.466442,0.267307134923358,0.245779065076642,0.5841,0.0943,0.0943,1,0.552743642,1,1
230,0.262,1,1,0.425336,0.243750235913064,0.22411936408693597,0.3327,0.285,0.285,1,0.552743642,1,1
231,0.262,1,1,0.284801,0.16321287391209902,0.150068226087901,0.0426,0.0759,0.0759,1,0.552743642,1,1
232,0.262,1,1,0.089459,0.051266886307641,0.047138013692358996,0.2398,0.1648,0.1648,1,0.552743642,1,1
233,0.262,1,1,0.00798,0.0045731536540199996,0.004204846345979999,0.2411,0.5543,0.5543,1,0.552743642,1,1
234,0.262,1,1,0.0,0.0,0.0,0.1023,0.0314,0.0314,1,0.552743642,1,1
235,0.262,1,1,0.0,0.0,0.0,0.2244,0.1786,0.1786,1,0.552743642,1,1
236,0.262,1,1,0.0,0.0,0.0,0.1682,0.2902,0.2902,1,0.552743642,1,1
237,0.262,1,1,0.0,0.0,0.0,0.2717,0.5354,0.5354,1,0.552743642,1,1
238,0.262,1,1,0.0,0.0,0.0,0.2738,0.1099,0.1099,1,0.552743642,1,1
239,0.262,1,1,0.0,0.0,0.0,0.0344,0.0342,0.0342,1,0.552743642,1,1
240,0.262,1,1,0.0,0.0,0.0,0.4033,0.4428,0.4428,1,0.552743642,1,1
241,0.262,1,1,0.0,0.0,0.0,0.116,0.4363,0.4363,1,0.552743642,1,1
242,0.262,1,1,0.0,0.0,0.0,0.165,0.5422,0.5422,1,0.552743642,1,1
243,0.262,1,1,0.0,0.0,0.0,0.2266,0.7862,0.7862,1,0.552743642,1,1
244,0.262,1,1,0.0,0.0,0.0,0.789,0.6461,0.6461,1,0.552743642,1,1
245,0.262,1,1,0.0,0.0,0.0,0.3758,0.0774,0.0774,1,0.552743642,1,1
246,0.262,1,1,0.0,0.0,0.0,0.7385,0.4132,0.4132,1,0.552743642,1,1
247,0.262,1,1,0.0,0.0,0.0,0.3128,0.239,0.239,1,0.552743642,1,1
248,0.262,1,1,0.009401,0.005387495927499,0.0049536040725009995,0.1549,0.3658,0.3658,1,0.552743642,1,1
249,0.262,1,1,0.077305,0.044301709677195,0.040733790322805,0.0473,0.2058,0.2058,1,0.552743642,1,1
250,0.262,1,1,0.192599,0.110374037670501,0.10148486232949899,0.5382,0.0872,0.0872,1,0.552743642,1,1
