Time_Index,None,TEXAS_reference_naturalgas,TEXAS_reference_naturalgas_ccs90,TEXAS_reference_naturalgas_ccs100,TEXAS_uranium
600,0,4.01,4.49,4.54,0.69
601,0,4.01,4.49,4.54,0.69
602,0,4.01,4.49,4.54,0.69
603,0,4.01,4.49,4.54,0.69
604,0,4.01,4.49,4.54,0.69
605,0,4.01,4.49,4.54,0.69
606,0,4.01,4.49,4.54,0.69
607,0,4.01,4.49,4.54,0.69
608,0,4.01,4.49,4.54,0.69
609,0,4.01,4.49,4.54,0.69
610,0,4.01,4.49,4.54,0.69
611,0,4.01,4.49,4.54,0.69
612,0,4.01,4.49,4.54,0.69
613,0,4.01,4.49,4.54,0.69
614,0,4.01,4.49,4.54,0.69
615,0,4.01,4.49,4.54,0.69
616,0,4.01,4.49,4.54,0.69
617,0,4.01,4.49,4.54,0.69
618,0,4.01,4.49,4.54,0.69
619,0,4.01,4.49,4.54,0.69
620,0,4.01,4.49,4.54,0.69
621,0,4.01,4.49,4.54,0.69
622,0,4.01,4.49,4.54,0.69
623,0,4.01,4.49,4.54,0.69
624,0,4.01,4.49,4.54,0.69
625,0,4.01,4.49,4.54,0.69
626,0,4.01,4.49,4.54,0.69
627,0,4.01,4.49,4.54,0.69
628,0,4.01,4.49,4.54,0.69
629,0,4.01,4.49,4.54,0.69
630,0,4.01,4.49,4.54,0.69
631,0,4.01,4.49,4.54,0.69
632,0,4.01,4.49,4.54,0.69
633,0,4.01,4.49,4.54,0.69
634,0,4.01,4.49,4.54,0.69
635,0,4.01,4.49,4.54,0.69
636,0,4.01,4.49,4.54,0.69
637,0,4.01,4.49,4.54,0.69
638,0,4.01,4.49,4.54,0.69
639,0,4.01,4.49,4.54,0.69
640,0,4.01,4.49,4.54,0.69
641,0,4.01,4.49,4.54,0.69
642,0,4.01,4.49,4.54,0.69
643,0,4.01,4.49,4.54,0.69
644,0,4.01,4.49,4.54,0.69
645,0,4.01,4.49,4.54,0.69
646,0,4.01,4.49,4.54,0.69
647,0,4.01,4.49,4.54,0.69
648,0,4.01,4.49,4.54,0.69
649,0,4.01,4.49,4.54,0.69
650,0,4.01,4.49,4.54,0.69
651,0,4.01,4.49,4.54,0.69
652,0,4.01,4.49,4.54,0.69
653,0,4.01,4.49,4.54,0.69
654,0,4.01,4.49,4.54,0.69
655,0,4.01,4.49,4.54,0.69
656,0,4.01,4.49,4.54,0.69
657,0,4.01,4.49,4.54,0.69
658,0,4.01,4.49,4.54,0.69
659,0,4.01,4.49,4.54,0.69
660,0,4.01,4.49,4.54,0.69
661,0,4.01,4.49,4.54,0.69
662,0,4.01,4.49,4.54,0.69
663,0,4.01,4.49,4.54,0.69
664,0,4.01,4.49,4.54,0.69
665,0,4.01,4.49,4.54,0.69
666,0,4.01,4.49,4.54,0.69
667,0,4.01,4.49,4.54,0.69
668,0,4.01,4.49,4.54,0.69
669,0,4.01,4.49,4.54,0.69
670,0,4.01,4.49,4.54,0.69
671,0,4.01,4.49,4.54,0.69
672,0,4.01,4.49,4.54,0.69
673,0,4.01,4.49,4.54,0.69
674,0,4.01,4.49,4.54,0.69
675,0,4.01,4.49,4.54,0.69
676,0,4.01,4.49,4.54,0.69
677,0,4.01,4.49,4.54,0.69
